querulous 抱怨的，发牢骚的
downcast 沮丧的
bombastic 浮夸的
jumble 使混乱
quiescent 不活跃的，静止的
wont 习惯
unbounded 无限的
fluster 使激动，使慌张
seditious 煽动性的
intractable 棘手的，难驾驭的
proportional 相称的，成比例的
antithesis 对立
dispute 争吵质疑
efficacy 功效
bland 乏味的无动于衷的
clearheaded 思路清晰的
gambit 策略
frown 不同意
banal 陈腐的，平凡的
plastic 可塑的做作的
infringe 侵犯
abscond 逃匿，潜逃
signify 表明
flaccid 松弛的，
interrelated 相互联系的
responsive 反应敏捷的
impinge 影响
disregard 忽视贬低
unfeeling 无情的
intensity 强度
hallucination 幻觉
plentiful 充足的
appease 使平
sedentary 久坐的不迁移的
oversell 吹嘘过多出售
striking 引人注目的
flip 无
absolve 免罪
indefatigable 不知疲倦的
madcap 愚蠢的，鲁莽的
distinctive 特别的
surreptitious 鬼
unremitting 不停的
claustrophobia 幽闭恐惧症
solemn 严肃的
extravagant 过度的，浪费的
tactless 笨拙的
buttress 支持
exude 散发，显露
cliquish 小集团的
warrant 保证
accustomed 习惯的
abeyance 中止
plaintive 悲伤的
whisk 迅速送走（人或者事物）
impressionabl 易受影响的
deadpan 面无表情的
muckrake 揭发丑闻
whet 刺激，促
provision 提供，供给
adroit 精
postulate 提出，假定
abysmal 极坏的，糟糕的
riveting 令人着迷的
obdurate 固执的
superficial 肤浅的表面的
insolvent 破产的，无偿还能力的
aggrandize 增大，夸大
quixotic 不切实际的
derive 源于
guild 协会，行会
sullen 郁郁寡
essential 完全必要的基本的
memorandum 备忘录
apostle 狂热
outlaw 宣布不合法
forgo 放弃
identical 相同的
interlocutor 对话者
gut-level 本能的
indigenous 本地的
glisten 闪光
iconoclast 反传统者
list 倾斜
vigorous 精力充沛的
besmirch 玷污，损害
vicious 凶险的，残酷的剧烈的，恶劣的
cursory 草率的
hail 称赞
odious 可憎的，讨厌的
unimpeachabl 毋庸置疑的
pious 虔诚的
negligent 疏忽大意的
pinnacle 巅峰，顶点
lugubrious 悲伤的
incisive 深刻的
shirk 逃避
lurid 可怕的，耸人听闻的
painstaking 煞费苦心的
nepotism 任人唯亲
turbulent 骚乱的，混乱的
cede 放弃，割让
hitch 故障
instantaneous 瞬间的，即时的
inquisitive 过分好奇的
misconstrue 曲解
malinger 装病（逃避工作）
overwhelm 淹没彻底击败
subservient 屈从的，卑躬屈膝的
incendiary 煽动的
retiring 不善社交
paltry 很少的无意义的
artifice 诡计，欺骗
didactic 说教的
regular 常出现的
jarring 刺耳的，不和谐的
diminutive 极小的
harbinger 张巍镇考词乱序版
emergent 意外的新兴的
arbitrary 随意的，武断的
unwitting 无意的
proclivity 倾向，嗜好
renowned 著名的
impromptu 即兴的
skew 使倾斜使曲解
berate 怒斥，责骂
dispassionate 公正客观的，冷静客观的
coax 诱骗
fastidious 挑剔的，极其注重细节的
readable 清晰易懂的可读性强的
negate 取消，使无效
self-effacing 谦逊的，不出风头的
sonorous 响
aloof 冷漠的，疏远的
resourceful 足智多谋的
mercenary 唯利是图的
horrific 可怕的，恐怖的
dolorous 悲伤的
impotent 无能的，无力的
oddball 奇怪
bonhomie 和蔼，温和
anonymous 无名的，匿名的无个性的
warble 用颤声唱
prodigal 挥霍的
jettison 丢弃
brevity 简洁
accolade 赞美赞扬
verbose 啰嗦的
malign 诽谤，污蔑恶意的
ruminate 认真思考
fade 衰退，逐渐消失
omnipresent 无处不在的
accent 强
consequential 重要的
supersede 取代，代替
tycoon 大亨，巨头
deprecatory 反对的
predate 早于
circumlocution 拐弯抹角的话
civility 礼貌
frail 脆弱的，虚弱的
forbear 克制
marginal 不重要的边缘的
obtain 获得
neologism 新词
taunt 嘲弄，奚落
afflict 折磨，使痛苦
hefty 高大健壮
subsequent 后来的，随后的
resilient 有弹性的，适应力强的
satiate 使满足
illuminate 阐明
moralistic 说教的
objectionable 令人反感的
quell 平息，镇压
prepossessing 有吸引力的
slippery 难以抓住的，棘手的不可靠的
artless 纯真的朴素的
rebuke 指责
dampen 抑制
protract 拖延延长
quip 妙语，幽默滑稽奇怪的东西
provident 有远见的节约的
ethnic 种族的
agreeable 令人愉悦的能接受的
slight 轻视微不足道的
commodious 宽敞的
saturate 使充满
fledgling 无经验的人
stint 节
impoverished 贫穷
scuffle 扭打，冲突
premonitory 先兆的，
merge 合并
hoard 贮藏，储存
subvert 颠覆，破坏
static 静态的，不变的
trepidation 不安
elusive 难抓住的难理解的
sophisticated 复杂的老练的
gadfly 讨厌的人
scorn 轻蔑，蔑视
perquisite 特权
extremist 极端分子
thwart 阻挠
animus 敌意
all-important 非常重要的
astonish 使惊讶
minuscule 极小的
gut 取出内脏，取出基本内容
solicitous 关怀的，操心的
trendy 时髦
rigor 严格
hereditary 遗传的
sardonic 讥讽的
pillory 嘲弄
personable 和蔼可亲的，平易近人的
comport 行为，表现
short-lived 短暂的
cathedral 大教堂
upheaval 剧变
temperate 温和的，适度的
totemic 象征的
soft-pedal 淡化，使不重要
nadir 最低点
truncate 截短
lush 繁茂
epitome 典型，象征
restive 躁动不安的
original 原创的新颖的
remonstrate 抗议
eligible 合格的
cache 隐藏处
exterminate 消灭，根除
diffident 缺乏自信的言行谨慎的
savor 享受，欣赏
altruistic 无私的
specious 虚假的
disprove 证明
pugnacious 好斗的
hidebound 迂腐守旧的
wastrel 浪费的人
inadequate 不足的
unctuous 虚情假意的
errant 不定的行为错误的
meager 缺乏的瘦削的
prognosis 预后
deflect 使转向
consort 陪伴
delight 高兴使高兴
intervene 干涉，介入
canny 精明的
foe 敌
cussed 固执的
untapped 未利用的
dullard 笨蛋
desiccate 变干
ablaze 着火的
militate 有影响
plaintiff 原告
stardom 明星界
astray 迷路地
windfall 意外之财
proxy 代理，代理权
hardwired 基本的，固有的
incorrigible 不可救药的
riven 破裂的
torso 身体的躯干
newfangled 新
infrasonic 次声的
biomass 生物量
dyspeptic 脾气差的消化不良的
watercourse 河道，水道
sangfroid 沉着，冷静
acquittal 赦免
tabulate 制成表格
unfazed 不苦恼的
solipsism 唯我论
minutiae 不重要的细节
variegated 富于变化的
disservice 帮倒忙
claptrap 废
villain 反派主角
winning 吸引人的
tried-and-true 被证明可靠的
passe 过时的
unequal 不能胜任的
splenetic 脾气差的，爱发怒的
epistle 书信
glitz 耀眼，华丽
superannuate 淘汰
denunciate 谴责
retrograde 倒退的
hobble 蹒跚，跛行
demarcate 划分界限
hindsight 后见之明，事后诸葛亮
ballyhoo 大吹大擂
ogre 食人魔鬼
upshot 结果，结
braggart 吹嘘，好自夸者
splinter 分裂
steep 使沉浸，使充满
viscous 粘性的
grabber 掠夺者
base 卑鄙的
vile 卑鄙的，可耻的
sybaritic 贪图享乐的
exhort 劝诫
defray 支付
tally 与
prickly 易怒的
parlous 危
raze 破坏，消除，夷为平地
gruesome 可怕的，阴森的
wreak 造成
havoc 灾难，混乱
puff 变得骄傲，膨胀
undergird 加强，支持，从底层支持
con 欺骗
attrition 摩擦，消耗
dross 劣质品，糟粕
sound 片段，摘引精句
redemptive 救赎的，赎罪的
fraternal 友好
iterate 迭代，重复
wail 哀嚎
whimper 呜咽，啜泣
statute 法令，法规
besot 使
clement 温和的，仁慈的
penury 贫穷，贫困
nuisance 麻烦事，讨厌的人（或事）
jest 玩笑，俏皮话
subsume 把包含在内
sapiential 智慧的，明智的
yore 从前，很久以前
iniquity 邪
unearned 不劳而获的
hold 占主导地位
arch 主要的，首要的淘气的，调皮的
prurient 好色的
hypostatize 使
accrue 增长，增加
reclusive 隐居的
caveat 警告，告诫
hard-and-fast 固定的
emulsify 使乳化
bombshell 出乎意料的事情
saccharine 柔情
ferret 搜寻
botch 糟蹋，笨拙地修补
fumble 笨手笨脚地做
blunder 愚蠢的错误
morose 忧郁的
charade 伪装
throwback 返祖者
upstart 暴发户
periphrasis 迂回说法，拐弯抹角
turgid 浮夸的
rancid 讨厌的，令人作呕的
miscellany 混杂
throttle 阻挡，压制
rouse 激励，唤醒
extempore 即兴的
gratuitous 无理由的
foolhardy 有勇无谋的
rugged 崎岖的
macabre 可怕的，恐怖的
avocation 业余爱好
complaisant 彬彬有礼的，顺从的
toothless 人微言轻的，不起作用的
lofty 高傲的高尚的
behemoth 巨头，巨物
offshoot 分支，衍生物
low-key 低调的
reproof 责备
hegemony 霸权，支配权
trailblazer 先驱，开拓者
imbue 灌输，渗透
permeate 渗透，充满
partake 参与，分担
breadth 宽
unanimous 一致同意的
least 一丁点
impound 没收
stately 庄严的，宏伟的
bulge 鼓起
leverage 充分利用
blacksmith 铁匠
apotheosize 神化
ruddy 红润的
chore 家庭
toddler 学步的儿童
boorish 粗野的，粗鲁的
dignify 使
pathology 病理学
regurgitate 反刍，照搬
rhapsodic 热情洋溢的，狂热的
factionalism 党派之争
affront 侮
reign 统治
inundate 淹
marshal 安排；控制，组织；整理（思路、想法等
couch 表达，措辞
ante 要求
bludgeon 猛烈攻击
stopgap 权宜之计
bagatelle 琐事
scapegoat 替罪羊
feint 假装，
regiment 严格控制
peddle 宣传，传播
nitpick 挑剔
arson 纵火
forensic 辩论的
corpus 文集，文献
jamboree 庆祝会
carpool 合伙用车
effete 疲惫的，衰败的
enshrine 把
repercussion 影响
sludgy 泥泞的，拖沓的
hauteur 骄傲，傲慢
fuzzy 模糊的
tenebrous 黑暗的，晦涩的
well-disposed 有好感的，性情好的
propagate 传播
episode 片段，一集
hireling 雇员
prankster 爱开玩笑的人
estimable 有价
unadulterated 纯粹的
congeal 凝固，凝结
leeway 自由活动的空间
rupture 破裂
per 本质上
redress 纠正
requiem 安魂曲
